hyear,cdays,rain
1,1,0.0000
1,2,0.0000
1,3,0.0000
1,4,0.0000
1,5,0.0000
1,6,0.0000
1,7,0.0000
1,8,0.0000
1,9,0.0000
1,10,0.0000
1,11,0.0000
1,12,0.0000
1,13,0.0000
1,14,0.0000
1,15,0.0000
1,16,0.0000
1,17,0.0000
1,18,0.0000
1,19,0.0000
1,20,0.0000
1,21,0.0000
1,22,0.0000
1,23,0.0000
1,24,0.0000
1,25,0.0000
1,26,0.0000
1,27,0.0000
1,28,0.0000
1,29,0.0000
1,30,0.0000
1,31,0.0000
1,32,0.0000
1,33,0.0000
1,34,0.0000
1,35,0.0000
1,36,0.0000
1,37,0.6000
1,38,0.0000
1,39,0.0000
1,40,0.0000
1,41,0.0300
1,42,0.0000
1,43,0.0000
1,44,0.0000
1,45,0.0000
1,46,0.0000
1,47,0.0000
1,48,0.0000
1,49,0.0000
1,50,0.0000
1,51,0.0000
1,52,0.0000
1,53,0.0000
1,54,0.0000
1,55,0.0000
1,56,0.0000
1,57,0.0000
1,58,0.0000
1,59,0.0700
1,60,0.0000
1,61,0.0000
1,62,0.0000
1,63,0.0000
1,64,0.0000
1,65,0.0000
1,66,0.0000
1,67,0.0000
1,68,0.0000
1,69,0.0000
1,70,0.0000
1,71,0.0000
1,72,0.0000
1,73,0.0300
1,74,3.8800
1,75,0.0500
1,76,1.4300
1,77,1.7800
1,78,0.8300
1,79,0.3300
1,80,0.0000
1,81,0.0000
1,82,0.0000
1,83,0.0000
1,84,0.0000
1,85,0.0000
1,86,0.0000
1,87,0.0000
1,88,0.0000
1,89,0.0000
1,90,0.0000
1,91,0.0000
1,92,0.0000
1,93,0.0000
1,94,0.0000
1,95,0.0000
1,96,0.0000
1,97,0.0000
1,98,0.0000
1,99,0.0000
1,100,0.0000
1,101,0.0000
1,102,0.0000
1,103,0.0000
1,104,0.0000
1,105,0.0000
1,106,2.0200
1,107,0.0000
1,108,0.0000
1,109,0.0000
1,110,0.0000
1,111,0.0000
1,112,0.0000
1,113,0.0000
1,114,0.0000
1,115,0.0000
1,116,0.0000
1,117,0.0000
1,118,0.0000
1,119,0.0000
1,120,0.0000
1,121,0.0000
1,122,0.0000
1,123,0.0000
1,124,0.0000
1,125,0.0000
1,126,5.2300
1,127,2.0200
1,128,3.2100
1,129,0.8400
1,130,0.0000
1,131,0.4000
1,132,0.0000
1,133,0.0000
1,134,0.0000
1,135,0.0000
1,136,0.0000
1,137,0.0000
1,138,0.0000
1,139,0.0000
1,140,0.0000
1,141,0.4300
1,142,0.0000
1,143,0.0000
1,144,2.0300
1,145,0.1300
1,146,0.0000
1,147,0.0000
1,148,0.0000
1,149,0.0000
1,150,0.0000
1,151,0.0000
1,152,0.0000
1,153,0.0000
1,154,0.8200
1,155,0.3300
1,156,0.0000
1,157,0.0000
1,158,0.0000
1,159,0.0000
1,160,0.0000
1,161,2.1400
1,162,2.5100
1,163,0.0000
1,164,4.3200
1,165,4.2100
1,166,2.4200
1,167,0.2100
1,168,0.0100
1,169,1.4000
1,170,0.0000
1,171,0.0000
1,172,0.0000
1,173,0.0000
1,174,0.1200
1,175,0.0000
1,176,0.0000
1,177,0.0000
1,178,0.1300
1,179,0.0000
1,180,0.0000
1,181,0.0000
1,182,0.2000
1,183,0.1200
1,184,0.0000
1,185,0.0000
1,186,0.0000
1,187,0.0000
1,188,0.0000
1,189,0.0000
1,190,0.0000
1,191,0.0000
1,192,0.0000
1,193,0.0000
1,194,0.0000
1,195,0.0000
1,196,0.0000
1,197,0.0000
1,198,0.0000
1,199,0.7400
1,200,0.0000
1,201,0.0000
1,202,0.0000
1,203,0.0000
1,204,0.0000
1,205,0.3400
1,206,0.0000
1,207,0.0000
1,208,0.0000
1,209,0.0000
1,210,0.0000
1,211,0.0000
1,212,0.0000
1,213,0.0000
1,214,0.0000
1,215,0.0000
1,216,0.0000
1,217,0.0000
1,218,0.0000
1,219,0.0000
1,220,0.5400
1,221,0.6400
1,222,0.0000
1,223,0.7300
1,224,0.8300
1,225,0.0000
1,226,0.0000
1,227,0.0000
1,228,0.0000
1,229,0.0000
1,230,0.0000
1,231,0.0000
1,232,0.0000
1,233,0.0000
1,234,0.0000
1,235,0.0000
1,236,0.0000
1,237,0.0000
1,238,0.0000
1,239,0.2300
1,240,0.0000
1,241,0.0000
1,242,0.0000
1,243,0.0000
1,244,0.0000
1,245,0.0000
1,246,0.0500
1,247,0.0000
1,248,0.0000
1,249,0.0000
1,250,0.0000
1,251,0.1000
1,252,0.0000
1,253,0.1800
1,254,0.0000
1,255,0.5500
1,256,0.5000
1,257,0.4000
1,258,0.5000
1,259,0.0000
1,260,0.0000
1,261,0.0000
1,262,0.1300
1,263,0.0000
1,264,0.0000
1,265,0.0000
1,266,0.0000
1,267,0.0800
1,268,0.0300
1,269,0.0000
1,270,0.0000
1,271,0.0000
1,272,2.3500
1,273,0.0000
1,274,0.0000
1,275,0.0000
1,276,0.2500
1,277,0.1300
1,278,0.0000
1,279,0.0000
1,280,0.0000
1,281,0.0500
1,282,0.0000
1,283,0.0000
1,284,0.0000
1,285,0.0000
1,286,0.0000
1,287,0.0000
1,288,0.0000
1,289,0.2200
1,290,0.0300
1,291,0.1500
1,292,0.0800
1,293,0.0000
1,294,0.3300
1,295,0.0000
1,296,4.0800
1,297,0.0500
1,298,0.0000
1,299,0.0000
1,300,0.0800
1,301,0.0000
1,302,0.0000
1,303,0.0000
1,304,0.0000
1,305,0.0000
1,306,0.0000
1,307,0.0000
1,308,0.0000
1,309,0.0000
1,310,0.0000
1,311,0.0000
1,312,0.0000
1,313,0.0500
1,314,0.0000
1,315,0.0000
1,316,0.0000
1,317,0.0000
1,318,0.5000
